selected_num:25
selected decision variable:cluster0:[1,2,3,4,5,6,7,8,9,10],cluster1:[1,2,3,4,5],cluster2:[1,2,3,4],reward12:[1,2,3],reward15:[1,2,3,4]
cluster2_cluster7_1 = 30.0
cluster2_cluster7_2 = 82.0
cluster2_cluster12_0 = 0.0
cluster2_cluster12_1 = 13.0
cluster2_cluster12_2 = 102.0
cluster2_cluster15_0 = 0.0
cluster2_cluster15_1 = 89.0
cluster2_cluster15_2 = 2.0
cluster2_cluster37_0 = 0.0
cluster2_cluster37_1 = -0.0
cluster2_cluster37_2 = 4.0
cluster2_cluster38_0 = 0.0
cluster2_cluster38_1 = -0.0
cluster2_cluster38_2 = 61.0
cluster2_cluster44_0 = 0.0
cluster2_cluster44_1 = 12.0
cluster2_cluster44_2 = 5.0
cluster2_cluster49_0 = 0.0
cluster2_cluster49_1 = 17.0
cluster2_cluster49_2 = 16.0
cluster3_cluster4_0 = 0.0
cluster3_cluster4_1 = -0.0
cluster3_cluster4_2 = 1.0
cluster3_cluster7_0 = 0.0
cluster3_cluster7_1 = -0.0
cluster3_cluster7_2 = 0.0
cluster3_cluster12_0 = 0.0
cluster3_cluster12_1 = 0.0
cluster3_cluster12_2 = 0.0
cluster3_cluster15_0 = 1.0
cluster3_cluster15_1 = 2.0
cluster3_cluster15_2 = 2.0
cluster3_cluster37_0 = 0.0
cluster3_cluster37_1 = 0.0
cluster3_cluster37_2 = -0.0
cluster3_cluster38_0 = 0.0
cluster3_cluster38_1 = 0.0
cluster3_cluster38_2 = 0.0
cluster3_cluster44_0 = 0.0
cluster3_cluster44_1 = -0.0
cluster3_cluster44_2 = -0.0
cluster3_cluster49_0 = 0.0
cluster3_cluster49_1 = -0.0
cluster3_cluster49_2 = 1.0
cluster5_cluster4_0 = 0.0
cluster5_cluster4_1 = -0.0
cluster5_cluster4_2 = -0.0
cluster5_cluster7_0 = -0.0
cluster5_cluster7_1 = -0.0
cluster5_cluster7_2 = 2.0
cluster5_cluster12_0 = 1.0
cluster5_cluster12_1 = 1.0
cluster5_cluster12_2 = -0.0
cluster5_cluster15_0 = 3.0
cluster5_cluster15_1 = 7.0
cluster5_cluster15_2 = 3.0
cluster5_cluster37_0 = -0.0
cluster5_cluster37_1 = 1.0
cluster5_cluster37_2 = 0.0
cluster5_cluster38_0 = 0.0
cluster5_cluster38_1 = -0.0
cluster5_cluster38_2 = -0.0
cluster5_cluster44_0 = -0.0
cluster5_cluster44_1 = 1.0
cluster5_cluster44_2 = 0.0
cluster5_cluster49_0 = 0.0
cluster5_cluster49_1 = 0.0
cluster5_cluster49_2 = 1.0
cluster6_cluster4_0 = -0.0
cluster6_cluster4_1 = 0.0
cluster6_cluster4_2 = -0.0
cluster6_cluster7_0 = -0.0
cluster6_cluster7_1 = -0.0
cluster6_cluster7_2 = 3.0
cluster6_cluster12_0 = -0.0
cluster6_cluster12_1 = -0.0
cluster6_cluster12_2 = -0.0
cluster6_cluster15_0 = -0.0
cluster6_cluster15_1 = -0.0
cluster6_cluster15_2 = -0.0
cluster6_cluster37_0 = -0.0
cluster6_cluster37_1 = 0.0
cluster6_cluster37_2 = 0.0
cluster6_cluster38_0 = -0.0
cluster6_cluster38_1 = 1.0
cluster6_cluster38_2 = 0.0
cluster6_cluster44_0 = 2.0
cluster6_cluster44_1 = 4.0
cluster6_cluster44_2 = -0.0
cluster6_cluster49_0 = -0.0
cluster6_cluster49_1 = -0.0
cluster6_cluster49_2 = 0.0
cluster8_cluster4_0 = 0.0
cluster8_cluster4_1 = -0.0
cluster8_cluster4_2 = -0.0
cluster8_cluster7_0 = 0.0
cluster8_cluster7_1 = 1.0
cluster8_cluster7_2 = 1.0
cluster8_cluster12_0 = 0.0
cluster8_cluster12_1 = 0.0
cluster8_cluster12_2 = -0.0
cluster8_cluster15_0 = 0.0
cluster8_cluster15_1 = 0.0
cluster8_cluster15_2 = 2.0
cluster8_cluster37_0 = 0.0
cluster8_cluster37_1 = -0.0
cluster8_cluster37_2 = 0.0
cluster8_cluster38_0 = 0.0
cluster8_cluster38_1 = 1.0
cluster8_cluster38_2 = -0.0
cluster8_cluster44_0 = 1.0
cluster8_cluster44_1 = 2.0
cluster8_cluster44_2 = 1.0
cluster8_cluster49_0 = 0.0
cluster8_cluster49_1 = -0.0
cluster8_cluster49_2 = -0.0
cluster9_cluster4_0 = 0.0
cluster9_cluster4_1 = -0.0
cluster9_cluster4_2 = -0.0
cluster9_cluster7_0 = 0.0
cluster9_cluster7_1 = 1.0
cluster9_cluster7_2 = -0.0
cluster9_cluster12_0 = 1.0
cluster9_cluster12_1 = 2.0
cluster9_cluster12_2 = 2.0
cluster9_cluster15_0 = 0.0
cluster9_cluster15_1 = 0.0
cluster9_cluster15_2 = -0.0
cluster9_cluster37_0 = 0.0
cluster9_cluster37_1 = -0.0
cluster9_cluster37_2 = 0.0
cluster9_cluster38_0 = 0.0
cluster9_cluster38_1 = 1.0
cluster9_cluster38_2 = 0.0
cluster9_cluster44_0 = 0.0
cluster9_cluster44_1 = -0.0
cluster9_cluster44_2 = -0.0
cluster9_cluster49_0 = 0.0
cluster9_cluster49_1 = 0.0
cluster9_cluster49_2 = -0.0
cluster10_cluster4_0 = 0.0
cluster10_cluster4_1 = 0.0
cluster10_cluster4_2 = -0.0
cluster10_cluster7_0 = 0.0
cluster10_cluster7_1 = -0.0
cluster10_cluster7_2 = 1.0
cluster10_cluster12_0 = 0.0
cluster10_cluster12_1 = 0.0
cluster10_cluster12_2 = 0.0
cluster10_cluster15_0 = 0.0
cluster10_cluster15_1 = 1.0
cluster10_cluster15_2 = 4.0
cluster10_cluster37_0 = 0.0
cluster10_cluster37_1 = -0.0
cluster10_cluster37_2 = 0.0
cluster10_cluster38_0 = 0.0
cluster10_cluster38_1 = -0.0
cluster10_cluster38_2 = -0.0
cluster10_cluster44_0 = 0.0
cluster10_cluster44_1 = -0.0
cluster10_cluster44_2 = -0.0
cluster10_cluster49_0 = 0.0
cluster10_cluster49_1 = 1.0
cluster10_cluster49_2 = -0.0
cluster11_cluster4_0 = -0.0
cluster11_cluster4_1 = 0.0
cluster11_cluster4_2 = -0.0
cluster11_cluster7_0 = -0.0
cluster11_cluster7_1 = 0.0
cluster11_cluster7_2 = 0.0
cluster11_cluster12_0 = -0.0
cluster11_cluster12_1 = -0.0
cluster11_cluster12_2 = 0.0
cluster11_cluster15_0 = -0.0
cluster11_cluster15_1 = 1.0
cluster11_cluster15_2 = -0.0
cluster11_cluster37_0 = -0.0
cluster11_cluster37_1 = -0.0
cluster11_cluster37_2 = 0.0
cluster11_cluster38_0 = -0.0
cluster11_cluster38_1 = 0.0
cluster11_cluster38_2 = -0.0
cluster11_cluster44_0 = 2.0
cluster11_cluster44_1 = -0.0
cluster11_cluster44_2 = 3.0
cluster11_cluster49_0 = -0.0
cluster11_cluster49_1 = 1.0
cluster11_cluster49_2 = 1.0
cluster13_cluster4_0 = -0.0
cluster13_cluster4_1 = 0.0
cluster13_cluster4_2 = 2.0
cluster13_cluster7_0 = -0.0
cluster13_cluster7_1 = 0.0
cluster13_cluster7_2 = 2.0
cluster13_cluster12_0 = 1.0
cluster13_cluster12_1 = 2.0
cluster13_cluster12_2 = -0.0
cluster13_cluster15_0 = 0.0
cluster13_cluster15_1 = 0.0
cluster13_cluster15_2 = 1.0
cluster13_cluster37_0 = -0.0
cluster13_cluster37_1 = 2.0
cluster13_cluster37_2 = 0.0
cluster13_cluster38_0 = 1.0
cluster13_cluster38_1 = -0.0
cluster13_cluster38_2 = 5.0
cluster13_cluster44_0 = 1.0
cluster13_cluster44_1 = 2.0
cluster13_cluster44_2 = -0.0
cluster13_cluster49_0 = -0.0
cluster13_cluster49_1 = 1.0
cluster13_cluster49_2 = -0.0
cluster14_cluster4_0 = 0.0
cluster14_cluster4_1 = -0.0
cluster14_cluster4_2 = 1.0
cluster14_cluster7_0 = 0.0
cluster14_cluster7_1 = 0.0
cluster14_cluster7_2 = 1.0
cluster14_cluster12_0 = 0.0
cluster14_cluster12_1 = 2.0
cluster14_cluster12_2 = 1.0
cluster14_cluster15_0 = 0.0
cluster14_cluster15_1 = 4.0
cluster14_cluster15_2 = 0.0
cluster14_cluster37_0 = 0.0
cluster14_cluster37_1 = 0.0
cluster14_cluster37_2 = 4.0
cluster14_cluster38_0 = 0.0
cluster14_cluster38_1 = 0.0
cluster14_cluster38_2 = 0.0
cluster14_cluster44_0 = 0.0
cluster14_cluster44_1 = -0.0
cluster14_cluster44_2 = -0.0
cluster14_cluster49_0 = 0.0
cluster14_cluster49_1 = -0.0
cluster14_cluster49_2 = -0.0
cluster16_cluster4_0 = 0.0
cluster16_cluster4_1 = -0.0
cluster16_cluster4_2 = -0.0
cluster16_cluster7_0 = 0.0
cluster16_cluster7_1 = 1.0
cluster16_cluster7_2 = 0.0
cluster16_cluster12_0 = 0.0
cluster16_cluster12_1 = 0.0
cluster16_cluster12_2 = 1.0
cluster16_cluster15_0 = 0.0
cluster16_cluster15_1 = 0.0
cluster16_cluster15_2 = 4.0
cluster16_cluster37_0 = 0.0
cluster16_cluster37_1 = 0.0
cluster16_cluster37_2 = -0.0
cluster16_cluster38_0 = 0.0
cluster16_cluster38_1 = 1.0
cluster16_cluster38_2 = -0.0
cluster16_cluster44_0 = 0.0
cluster16_cluster44_1 = -0.0
cluster16_cluster44_2 = 1.0
cluster16_cluster49_0 = 0.0
cluster16_cluster49_1 = -0.0
cluster16_cluster49_2 = -0.0
cluster17_cluster4_0 = 0.0
cluster17_cluster4_1 = 1.0
cluster17_cluster4_2 = -0.0
cluster17_cluster7_0 = 0.0
cluster17_cluster7_1 = 0.0
cluster17_cluster7_2 = 1.0
cluster17_cluster12_0 = 0.0
cluster17_cluster12_1 = 1.0
cluster17_cluster12_2 = -0.0
cluster17_cluster15_0 = 0.0
cluster17_cluster15_1 = -0.0
cluster17_cluster15_2 = 0.0
cluster17_cluster37_0 = 0.0
cluster17_cluster37_1 = 1.0
cluster17_cluster37_2 = -0.0
cluster17_cluster38_0 = 0.0
cluster17_cluster38_1 = 0.0
cluster17_cluster38_2 = 1.0
cluster17_cluster44_0 = 0.0
cluster17_cluster44_1 = 1.0
cluster17_cluster44_2 = 6.0
cluster17_cluster49_0 = 0.0
cluster17_cluster49_1 = 0.0
cluster17_cluster49_2 = -0.0
cluster18_cluster4_0 = 0.0
cluster18_cluster4_1 = 0.0
cluster18_cluster4_2 = 0.0
cluster18_cluster7_0 = 0.0
cluster18_cluster7_1 = -0.0
cluster18_cluster7_2 = -0.0
cluster18_cluster12_0 = 0.0
cluster18_cluster12_1 = -0.0
cluster18_cluster12_2 = 5.0
cluster18_cluster15_0 = 0.0
cluster18_cluster15_1 = -0.0
cluster18_cluster15_2 = -0.0
cluster18_cluster37_0 = 0.0
cluster18_cluster37_1 = 1.0
cluster18_cluster37_2 = 0.0
cluster18_cluster38_0 = 0.0
cluster18_cluster38_1 = 1.0
cluster18_cluster38_2 = 1.0
cluster18_cluster44_0 = 0.0
cluster18_cluster44_1 = -0.0
cluster18_cluster44_2 = -0.0
cluster18_cluster49_0 = 0.0
cluster18_cluster49_1 = -0.0
cluster18_cluster49_2 = -0.0
cluster19_cluster4_0 = -0.0
cluster19_cluster4_1 = 1.0
cluster19_cluster4_2 = 2.0
cluster19_cluster7_0 = -0.0
cluster19_cluster7_1 = -0.0
cluster19_cluster7_2 = -0.0
cluster19_cluster12_0 = 0.0
cluster19_cluster12_1 = 1.0
cluster19_cluster12_2 = 1.0
cluster19_cluster15_0 = 0.0
cluster19_cluster15_1 = 8.0
cluster19_cluster15_2 = 3.0
cluster19_cluster37_0 = 2.0
cluster19_cluster37_1 = 0.0
cluster19_cluster37_2 = -0.0
cluster19_cluster38_0 = -0.0
cluster19_cluster38_1 = -0.0
cluster19_cluster38_2 = -0.0
cluster19_cluster44_0 = -0.0
cluster19_cluster44_1 = -0.0
cluster19_cluster44_2 = -0.0
cluster19_cluster49_0 = -0.0
cluster19_cluster49_1 = -0.0
cluster19_cluster49_2 = -0.0
cluster20_cluster4_0 = -0.0
cluster20_cluster4_1 = -0.0
cluster20_cluster4_2 = 1.0
cluster20_cluster7_0 = -0.0
cluster20_cluster7_1 = 0.0
cluster20_cluster7_2 = 0.0
cluster20_cluster12_0 = -0.0
cluster20_cluster12_1 = 1.0
cluster20_cluster12_2 = 1.0
cluster20_cluster15_0 = -0.0
cluster20_cluster15_1 = -0.0
cluster20_cluster15_2 = 0.0
cluster20_cluster37_0 = -0.0
cluster20_cluster37_1 = -0.0
cluster20_cluster37_2 = 0.0
cluster20_cluster38_0 = -0.0
cluster20_cluster38_1 = -0.0
cluster20_cluster38_2 = 1.0
cluster20_cluster44_0 = 2.0
cluster20_cluster44_1 = 2.0
cluster20_cluster44_2 = 0.0
cluster20_cluster49_0 = -0.0
cluster20_cluster49_1 = 0.0
cluster20_cluster49_2 = 1.0
cluster21_cluster4_0 = 0.0
cluster21_cluster4_1 = -0.0
cluster21_cluster4_2 = 0.0
cluster21_cluster7_0 = 0.0
cluster21_cluster7_1 = -0.0
cluster21_cluster7_2 = 0.0
cluster21_cluster12_0 = 0.0
cluster21_cluster12_1 = 0.0
cluster21_cluster12_2 = 3.0
cluster21_cluster15_0 = 0.0
cluster21_cluster15_1 = 0.0
cluster21_cluster15_2 = -0.0
cluster21_cluster37_0 = 0.0
cluster21_cluster37_1 = -0.0
cluster21_cluster37_2 = -0.0
cluster21_cluster38_0 = 0.0
cluster21_cluster38_1 = 1.0
cluster21_cluster38_2 = -0.0
cluster21_cluster44_0 = 1.0
cluster21_cluster44_1 = 5.0
cluster21_cluster44_2 = 0.0
cluster21_cluster49_0 = 0.0
cluster21_cluster49_1 = -0.0
cluster21_cluster49_2 = -0.0
cluster22_cluster4_0 = 0.0
cluster22_cluster4_1 = -0.0
cluster22_cluster4_2 = -0.0
cluster22_cluster7_0 = 0.0
cluster22_cluster7_1 = 1.0
cluster22_cluster7_2 = 0.0
cluster22_cluster12_0 = 0.0
cluster22_cluster12_1 = -0.0
cluster22_cluster12_2 = 6.0
cluster22_cluster15_0 = 0.0
cluster22_cluster15_1 = 1.0
cluster22_cluster15_2 = 2.0
cluster22_cluster37_0 = 0.0
cluster22_cluster37_1 = -0.0
cluster22_cluster37_2 = 1.0
cluster22_cluster38_0 = 0.0
cluster22_cluster38_1 = 1.0
cluster22_cluster38_2 = -0.0
cluster22_cluster44_0 = 0.0
cluster22_cluster44_1 = 1.0
cluster22_cluster44_2 = 0.0
cluster22_cluster49_0 = 0.0
cluster22_cluster49_1 = -0.0
cluster22_cluster49_2 = -0.0
cluster23_cluster4_0 = 0.0
cluster23_cluster4_1 = 1.0
cluster23_cluster4_2 = -0.0
cluster23_cluster7_0 = -0.0
cluster23_cluster7_1 = -0.0
cluster23_cluster7_2 = -0.0
cluster23_cluster12_0 = 0.0
cluster23_cluster12_1 = 0.0
cluster23_cluster12_2 = 0.0
cluster23_cluster15_0 = 0.0
cluster23_cluster15_1 = 3.0
cluster23_cluster15_2 = 3.0
cluster23_cluster37_0 = 0.0
cluster23_cluster37_1 = -0.0
cluster23_cluster37_2 = 0.0
cluster23_cluster38_0 = 1.0
cluster23_cluster38_1 = -0.0
cluster23_cluster38_2 = 1.0
cluster23_cluster44_0 = 0.0
cluster23_cluster44_1 = -0.0
cluster23_cluster44_2 = -0.0
cluster23_cluster49_0 = 0.0
cluster23_cluster49_1 = -0.0
cluster23_cluster49_2 = -0.0
cluster24_cluster4_0 = 0.0
cluster24_cluster4_1 = 0.0
cluster24_cluster4_2 = -0.0
cluster24_cluster7_0 = 0.0
cluster24_cluster7_1 = 0.0
cluster24_cluster7_2 = -0.0
cluster24_cluster12_0 = 0.0
cluster24_cluster12_1 = 0.0
cluster24_cluster12_2 = 5.0
cluster24_cluster15_0 = 0.0
cluster24_cluster15_1 = -0.0
cluster24_cluster15_2 = -0.0
cluster24_cluster37_0 = 0.0
cluster24_cluster37_1 = 0.0
cluster24_cluster37_2 = 1.0
cluster24_cluster38_0 = 0.0
cluster24_cluster38_1 = 0.0
cluster24_cluster38_2 = 0.0
cluster24_cluster44_0 = 0.0
cluster24_cluster44_1 = 3.0
cluster24_cluster44_2 = -0.0
cluster24_cluster49_0 = 0.0
cluster24_cluster49_1 = -0.0
cluster24_cluster49_2 = 0.0
cluster25_cluster4_0 = -0.0
cluster25_cluster4_1 = -0.0
cluster25_cluster4_2 = 0.0
cluster25_cluster7_0 = -0.0
cluster25_cluster7_1 = -0.0
cluster25_cluster7_2 = -0.0
cluster25_cluster12_0 = -0.0
cluster25_cluster12_1 = 1.0
cluster25_cluster12_2 = 0.0
cluster25_cluster15_0 = 0.0
cluster25_cluster15_1 = 3.0
cluster25_cluster15_2 = 5.0
cluster25_cluster37_0 = 2.0
cluster25_cluster37_1 = 1.0
cluster25_cluster37_2 = -0.0
cluster25_cluster38_0 = 1.0
cluster25_cluster38_1 = 0.0
cluster25_cluster38_2 = 1.0
cluster25_cluster44_0 = -0.0
cluster25_cluster44_1 = 0.0
cluster25_cluster44_2 = 0.0
cluster25_cluster49_0 = -0.0
cluster25_cluster49_1 = -0.0
cluster25_cluster49_2 = 1.0
cluster26_cluster4_0 = 0.0
cluster26_cluster4_1 = -0.0
cluster26_cluster4_2 = 1.0
cluster26_cluster7_0 = 0.0
cluster26_cluster7_1 = -0.0
cluster26_cluster7_2 = -0.0
cluster26_cluster12_0 = 0.0
cluster26_cluster12_1 = 0.0
cluster26_cluster12_2 = -0.0
cluster26_cluster15_0 = 0.0
cluster26_cluster15_1 = 3.0
cluster26_cluster15_2 = -0.0
cluster26_cluster37_0 = 0.0
cluster26_cluster37_1 = -0.0
cluster26_cluster37_2 = -0.0
cluster26_cluster38_0 = 0.0
cluster26_cluster38_1 = 0.0
cluster26_cluster38_2 = 0.0
cluster26_cluster44_0 = 1.0
cluster26_cluster44_1 = -0.0
cluster26_cluster44_2 = 4.0
cluster26_cluster49_0 = 0.0
cluster26_cluster49_1 = 0.0
cluster26_cluster49_2 = 0.0
cluster27_cluster4_0 = 0.0
cluster27_cluster4_1 = -0.0
cluster27_cluster4_2 = 0.0
cluster27_cluster7_0 = 0.0
cluster27_cluster7_1 = -0.0
cluster27_cluster7_2 = 2.0
cluster27_cluster12_0 = 0.0
cluster27_cluster12_1 = -0.0
cluster27_cluster12_2 = 0.0
cluster27_cluster15_0 = 0.0
cluster27_cluster15_1 = 3.0
cluster27_cluster15_2 = 1.0
cluster27_cluster37_0 = 0.0
cluster27_cluster37_1 = 2.0
cluster27_cluster37_2 = -0.0
cluster27_cluster38_0 = 0.0
cluster27_cluster38_1 = -0.0
cluster27_cluster38_2 = 3.0
cluster27_cluster44_0 = 0.0
cluster27_cluster44_1 = 0.0
cluster27_cluster44_2 = 0.0
cluster27_cluster49_0 = 0.0
cluster27_cluster49_1 = -0.0
cluster27_cluster49_2 = 1.0
cluster28_cluster4_0 = 0.0
cluster28_cluster4_1 = 0.0
cluster28_cluster4_2 = 0.0
cluster28_cluster7_0 = -0.0
cluster28_cluster7_1 = -0.0
cluster28_cluster7_2 = 1.0
cluster28_cluster12_0 = 1.0
cluster28_cluster12_1 = -0.0
cluster28_cluster12_2 = -0.0
cluster28_cluster15_0 = 0.0
cluster28_cluster15_1 = 3.0
cluster28_cluster15_2 = -0.0
cluster28_cluster37_0 = 0.0
cluster28_cluster37_1 = 1.0
cluster28_cluster37_2 = 2.0
cluster28_cluster38_0 = -0.0
cluster28_cluster38_1 = 0.0
cluster28_cluster38_2 = -0.0
cluster28_cluster44_0 = -0.0
cluster28_cluster44_1 = -0.0
cluster28_cluster44_2 = -0.0
cluster28_cluster49_0 = 0.0
cluster28_cluster49_1 = -0.0
cluster28_cluster49_2 = 1.0
cluster29_cluster4_0 = 0.0
cluster29_cluster4_1 = -0.0
cluster29_cluster4_2 = 1.0
cluster29_cluster7_0 = 0.0
cluster29_cluster7_1 = -0.0
cluster29_cluster7_2 = 1.0
cluster29_cluster12_0 = 0.0
cluster29_cluster12_1 = 1.0
cluster29_cluster12_2 = -0.0
cluster29_cluster15_0 = 1.0
cluster29_cluster15_1 = 2.0
cluster29_cluster15_2 = -0.0
cluster29_cluster37_0 = 0.0
cluster29_cluster37_1 = 0.0
cluster29_cluster37_2 = -0.0
cluster29_cluster38_0 = 0.0
cluster29_cluster38_1 = 1.0
cluster29_cluster38_2 = 1.0
cluster29_cluster44_0 = 0.0
cluster29_cluster44_1 = 1.0
cluster29_cluster44_2 = -0.0
cluster29_cluster49_0 = 0.0
cluster29_cluster49_1 = -0.0
cluster29_cluster49_2 = -0.0
cluster30_cluster4_0 = 0.0
cluster30_cluster4_1 = -0.0
cluster30_cluster4_2 = -0.0
cluster30_cluster7_0 = 0.0
cluster30_cluster7_1 = -0.0
cluster30_cluster7_2 = -0.0
cluster30_cluster12_0 = 0.0
cluster30_cluster12_1 = 1.0
cluster30_cluster12_2 = 4.0
cluster30_cluster15_0 = 0.0
cluster30_cluster15_1 = 7.0
cluster30_cluster15_2 = 1.0
cluster30_cluster37_0 = 0.0
cluster30_cluster37_1 = -0.0
cluster30_cluster37_2 = 3.0
cluster30_cluster38_0 = 0.0
cluster30_cluster38_1 = 1.0
cluster30_cluster38_2 = -0.0
cluster30_cluster44_0 = 0.0
cluster30_cluster44_1 = -0.0
cluster30_cluster44_2 = 0.0
cluster30_cluster49_0 = 0.0
cluster30_cluster49_1 = 1.0
cluster30_cluster49_2 = -0.0
cluster31_cluster4_0 = -0.0
cluster31_cluster4_1 = -0.0
cluster31_cluster4_2 = -0.0
cluster31_cluster7_0 = -0.0
cluster31_cluster7_1 = 1.0
cluster31_cluster7_2 = 0.0
cluster31_cluster12_0 = 0.0
cluster31_cluster12_1 = -0.0
cluster31_cluster12_2 = 0.0
cluster31_cluster15_0 = -0.0
cluster31_cluster15_1 = 1.0
cluster31_cluster15_2 = 0.0
cluster31_cluster37_0 = -0.0
cluster31_cluster37_1 = 0.0
cluster31_cluster37_2 = 1.0
cluster31_cluster38_0 = -0.0
cluster31_cluster38_1 = -0.0
cluster31_cluster38_2 = 1.0
cluster31_cluster44_0 = 2.0
cluster31_cluster44_1 = -0.0
cluster31_cluster44_2 = 4.0
cluster31_cluster49_0 = 0.0
cluster31_cluster49_1 = -0.0
cluster31_cluster49_2 = -0.0
cluster32_cluster4_0 = 0.0
cluster32_cluster4_1 = -0.0
cluster32_cluster4_2 = -0.0
cluster32_cluster7_0 = 0.0
cluster32_cluster7_1 = -0.0
cluster32_cluster7_2 = 0.0
cluster32_cluster12_0 = 0.0
cluster32_cluster12_1 = -0.0
cluster32_cluster12_2 = -0.0
cluster32_cluster15_0 = 0.0
cluster32_cluster15_1 = -0.0
cluster32_cluster15_2 = 0.0
cluster32_cluster37_0 = 0.0
cluster32_cluster37_1 = 0.0
cluster32_cluster37_2 = -0.0
cluster32_cluster38_0 = 0.0
cluster32_cluster38_1 = 1.0
cluster32_cluster38_2 = 0.0
cluster32_cluster44_0 = 1.0
cluster32_cluster44_1 = 3.0
cluster32_cluster44_2 = 3.0
cluster32_cluster49_0 = 0.0
cluster32_cluster49_1 = -0.0
cluster32_cluster49_2 = -0.0
cluster33_cluster4_0 = 0.0
cluster33_cluster4_1 = -0.0
cluster33_cluster4_2 = -0.0
cluster33_cluster7_0 = 0.0
cluster33_cluster7_1 = -0.0
cluster33_cluster7_2 = -0.0
cluster33_cluster12_0 = 0.0
cluster33_cluster12_1 = 1.0
cluster33_cluster12_2 = 0.0
cluster33_cluster15_0 = 0.0
cluster33_cluster15_1 = -0.0
cluster33_cluster15_2 = 4.0
cluster33_cluster37_0 = 0.0
cluster33_cluster37_1 = 0.0
cluster33_cluster37_2 = -0.0
cluster33_cluster38_0 = 0.0
cluster33_cluster38_1 = 1.0
cluster33_cluster38_2 = -0.0
cluster33_cluster44_0 = 0.0
cluster33_cluster44_1 = -0.0
cluster33_cluster44_2 = 1.0
cluster33_cluster49_0 = 0.0
cluster33_cluster49_1 = -0.0
cluster33_cluster49_2 = -0.0
cluster34_cluster4_0 = -0.0
cluster34_cluster4_1 = -0.0
cluster34_cluster4_2 = -0.0
cluster34_cluster7_0 = -0.0
cluster34_cluster7_1 = 0.0
cluster34_cluster7_2 = 0.0
cluster34_cluster12_0 = -0.0
cluster34_cluster12_1 = 1.0
cluster34_cluster12_2 = -0.0
cluster34_cluster15_0 = -0.0
cluster34_cluster15_1 = -0.0
cluster34_cluster15_2 = 0.0
cluster34_cluster37_0 = -0.0
cluster34_cluster37_1 = 1.0
cluster34_cluster37_2 = -0.0
cluster34_cluster38_0 = -0.0
cluster34_cluster38_1 = 0.0
cluster34_cluster38_2 = 0.0
cluster34_cluster44_0 = 2.0
cluster34_cluster44_1 = 0.0
cluster34_cluster44_2 = 2.0
cluster34_cluster49_0 = -0.0
cluster34_cluster49_1 = -0.0
cluster34_cluster49_2 = 2.0
cluster35_cluster4_0 = 0.0
cluster35_cluster4_1 = 0.0
cluster35_cluster4_2 = 0.0
cluster35_cluster7_0 = 0.0
